L_min,L_max,error,sqr_error,n_successes
5,15,27,63,7
5,16,24,54,8
6,16,28,68,7
5,17,19,43,10
6,17,20,46,10
7,17,25,57,7
5,18,20,44,9
6,18,22,48,8
7,18,22,52,9
8,18,23,61,10
5,19,21,47,9
6,19,21,47,9
7,19,22,48,8
8,19,18,36,9
9,19,16,34,11
5,20,15,31,11
6,20,16,32,10
7,20,16,30,10
8,20,13,23,11
9,20,8,14,14
10,20,7,13,15
5,21,15,31,11
6,21,13,23,11
7,21,11,17,12
8,21,13,27,12
9,21,11,19,12
10,21,10,18,13
11,21,11,17,12
5,22,10,18,13
6,22,10,18,13
7,22,13,25,11
8,22,7,13,15
9,22,8,16,15
10,22,9,17,14
11,22,8,12,14
12,22,9,17,14
5,23,9,17,14
6,23,10,18,13
7,23,9,17,14
8,23,6,8,15
9,23,5,7,16
10,23,6,8,15
11,23,6,8,15
12,23,6,8,15
13,23,9,17,14
5,24,5,5,15
6,24,6,6,14
7,24,5,5,15
8,24,5,7,16
9,24,4,4,16
10,24,5,5,15
11,24,7,9,14
12,24,7,9,14
13,24,8,10,13
14,24,7,9,14
5,25,1,1,19
6,25,2,2,18
7,25,3,3,17
8,25,4,6,17
9,25,1,1,19
10,25,3,3,17
11,25,5,7,16
12,25,2,2,18
13,25,6,8,15
14,25,4,6,17
15,25,4,6,17
5,26,2,2,18
6,26,2,2,18
7,26,1,1,19
8,26,3,5,18
9,26,1,1,19
10,26,2,2,18
11,26,4,6,17
12,26,3,5,18
13,26,4,8,18
14,26,2,4,19
15,26,3,5,18
16,26,4,8,18
5,27,1,1,19
6,27,1,1,19
7,27,1,1,19
8,27,1,1,19
9,27,1,1,19
10,27,0,0,20
11,27,4,6,17
12,27,1,1,19
13,27,1,1,19
14,27,2,4,19
15,27,3,5,18
16,27,3,5,18
17,27,3,5,18
5,28,2,2,18
6,28,2,2,18
7,28,1,1,19
8,28,1,1,19
9,28,1,1,19
10,28,1,1,19
11,28,2,2,18
12,28,1,1,19
13,28,1,1,19
