L_min,L_max,error,sqr_error,n_successes
5,15,9,9,11
5,16,11,11,9
6,16,11,11,9
5,17,9,9,11
6,17,12,12,8
7,17,10,10,10
5,18,13,13,7
6,18,14,14,6
7,18,13,13,7
8,18,14,14,6
5,19,17,17,3
6,19,17,17,3
7,19,15,15,5
8,19,16,16,4
9,19,17,17,3
5,20,15,15,5
6,20,15,15,5
7,20,15,15,5
8,20,15,15,5
9,20,17,17,3
10,20,16,16,4
5,21,16,16,4
6,21,15,15,5
7,21,17,17,3
8,21,17,17,3
9,21,16,16,4
10,21,17,17,3
11,21,17,17,3
5,22,16,16,4
6,22,17,17,3
7,22,18,18,2
8,22,17,17,3
9,22,17,17,3
10,22,18,18,2
11,22,18,18,2
12,22,18,18,2
5,23,18,18,2
6,23,19,19,1
7,23,17,17,3
8,23,20,20,0
9,23,19,19,1
10,23,19,19,1
11,23,18,18,2
12,23,18,18,2
13,23,20,20,0
5,24,17,17,3
6,24,17,17,3
7,24,18,18,2
8,24,20,20,0
9,24,19,19,1
10,24,19,19,1
11,24,18,18,2
12,24,19,19,1
13,24,20,20,0
14,24,20,20,0
5,25,17,17,3
6,25,16,16,4
7,25,17,17,3
8,25,17,17,3
9,25,18,18,2
10,25,17,17,3
11,25,18,18,2
12,25,19,19,1
13,25,20,20,0
14,25,19,19,1
15,25,18,18,2
5,26,16,16,4
6,26,16,16,4
7,26,17,17,3
8,26,19,19,1
9,26,18,18,2
10,26,18,18,2
11,26,18,18,2
12,26,19,19,1
13,26,20,20,0
14,26,19,19,1
15,26,18,18,2
16,26,17,17,3
5,27,17,17,3
6,27,17,17,3
7,27,17,17,3
8,27,18,18,2
9,27,18,18,2
10,27,17,17,3
11,27,19,19,1
12,27,18,18,2
13,27,20,20,0
14,27,19,19,1
15,27,19,19,1
16,27,16,16,4
17,27,18,18,2
5,28,17,17,3
6,28,17,17,3
7,28,17,17,3
8,28,18,18,2
9,28,18,18,2
10,28,17,17,3
11,28,19,19,1
12,28,19,19,1
13,28,20,20,0
14,28,19,19,1
15,28,18,18,2
16,28,16,16,4
17,28,18,18,2
18,28,16,16,4
5,29,17,17,3
6,29,17,17,3
7,29,17,17,3
8,29,18,18,2
9,29,18,18,2
10,29,16,16,4
11,29,19,19,1
12,29,19,19,1
13,29,20,20,0
14,29,20,20,0
15,29,19,19,1
16,29,16,16,4
17,29,18,18,2
18,29,16,16,4
19,29,16,16,4
5,30,17,17,3
6,30,17,17,3
7,30,17,17,3
8,30,18,18,2
9,30,18,18,2
10,30,18,18,2
11,30,19,19,1
12,30,19,19,1
13,30,20,20,0
14,30,20,20,0
15,30,19,19,1
16,30,17,17,3
17,30,18,18,2
18,30,16,16,4
19,30,16,16,4
20,30,15,15,5
5,31,17,17,3
6,31,17,17,3
7,31,17,17,3
8,31,18,18,2
9,31,18,18,2
10,31,18,18,2
11,31,19,19,1
12,31,19,19,1
13,31,20,20,0
14,31,20,20,0
15,31,19,19,1
16,31,17,17,3
17,31,18,18,2
18,31,17,17,3
19,31,15,15,5
20,31,16,16,4
21,31,9,9,11
5,32,17,17,3
6,32,17,17,3
7,32,17,17,3
8,32,18,18,2
9,32,18,18,2
10,32,18,18,2
11,32,19,19,1
12,32,19,19,1
13,32,20,20,0
14,32,20,20,0
15,32,19,19,1
16,32,17,17,3
17,32,18,18,2
18,32,17,17,3
19,32,15,15,5
20,32,15,15,5
21,32,9,9,11
22,32,8,8,12
5,33,17,17,3
6,33,17,17,3
7,33,17,17,3
8,33,18,18,2
9,33,17,17,3
10,33,17,17,3
11,33,19,19,1
12,33,19,19,1
13,33,20,20,0
14,33,20,20,0
15,33,19,19,1
16,33,17,17,3
17,33,18,18,2
18,33,17,17,3
19,33,17,17,3
20,33,15,15,5
21,33,9,9,11
22,33,8,8,12
23,33,8,8,12
5,34,17,17,3
6,34,17,17,3
7,34,17,17,3
8,34,18,18,2
9,34,18,18,2
10,34,17,17,3
11,34,18,18,2
12,34,19,19,1
13,34,20,20,0
14,34,19,19,1
15,34,20,20,0
16,34,17,17,3
17,34,18,18,2
18,34,17,17,3
19,34,15,15,5
20,34,14,14,6
21,34,9,9,11
22,34,7,7,13
23,34,7,7,13
24,34,6,6,14
5,35,17,17,3
6,35,17,17,3
7,35,17,17,3
8,35,18,18,2
9,35,18,18,2
10,35,18,18,2
11,35,19,19,1
12,35,19,19,1
13,35,20,20,0
14,35,20,20,0
15,35,19,19,1
16,35,17,17,3
17,35,18,18,2
18,35,15,15,5
19,35,12,12,8
20,35,11,11,9
21,35,9,9,11
22,35,8,8,12
23,35,6,6,14
24,35,8,8,12
25,35,8,8,12
5,36,16,16,4
6,36,17,17,3
7,36,15,15,5
8,36,16,16,4
9,36,16,16,4
10,36,16,16,4
11,36,19,19,1
12,36,18,18,2
13,36,18,18,2
14,36,17,17,3
15,36,18,18,2
16,36,17,17,3
17,36,18,18,2
18,36,15,15,5
19,36,12,12,8
20,36,9,9,11
21,36,7,7,13
22,36,7,7,13
23,36,7,7,13
24,36,8,8,12
25,36,7,7,13
26,36,6,6,14
5,37,17,17,3
6,37,17,17,3
7,37,16,16,4
8,37,16,16,4
9,37,15,15,5
10,37,16,16,4
11,37,16,16,4
12,37,17,17,3
13,37,17,17,3
14,37,16,16,4
15,37,15,15,5
16,37,15,15,5
17,37,17,17,3
18,37,15,15,5
19,37,12,12,8
20,37,11,11,9
21,37,6,6,14
22,37,7,7,13
23,37,7,7,13
24,37,7,7,13
25,37,5,5,15
26,37,5,5,15
27,37,7,7,13
5,38,15,15,5
6,38,17,17,3
7,38,15,15,5
8,38,15,15,5
9,38,15,15,5
10,38,14,14,6
11,38,16,16,4
12,38,18,18,2
13,38,17,17,3
14,38,17,17,3
15,38,16,16,4
16,38,16,16,4
17,38,15,15,5
18,38,12,12,8
19,38,10,10,10
20,38,8,8,12
21,38,7,7,13
22,38,8,8,12
23,38,5,5,15
24,38,5,5,15
25,38,7,7,13
26,38,6,6,14
27,38,7,7,13
28,38,7,7,13
5,39,13,13,7
6,39,15,15,5
7,39,14,14,6
8,39,14,14,6
9,39,14,14,6
10,39,15,15,5
11,39,13,13,7
12,39,15,15,5
13,39,13,13,7
14,39,16,16,4
15,39,15,15,5
16,39,13,13,7
17,39,14,14,6
18,39,9,9,11
19,39,9,9,11
20,39,9,9,11
21,39,5,5,15
22,39,6,6,14
23,39,6,6,14
24,39,5,5,15
25,39,4,4,16
26,39,6,6,14
27,39,7,7,13
28,39,8,8,12
29,39,7,7,13
5,40,12,12,8
6,40,11,11,9
7,40,11,11,9
8,40,12,12,8
9,40,13,13,7
10,40,12,12,8
11,40,12,12,8
12,40,13,13,7
13,40,12,12,8
14,40,12,12,8
15,40,11,11,9
16,40,10,10,10
17,40,12,12,8
18,40,9,9,11
19,40,9,9,11
20,40,9,9,11
21,40,6,6,14
22,40,5,5,15
23,40,5,5,15
24,40,5,5,15
25,40,7,7,13
26,40,7,7,13
27,40,8,8,12
28,40,8,8,12
29,40,7,7,13
30,40,7,7,13
5,41,11,11,9
6,41,12,12,8
7,41,11,11,9
8,41,12,12,8
9,41,11,11,9
10,41,11,11,9
11,41,10,10,10
12,41,11,11,9
13,41,10,10,10
14,41,11,11,9
15,41,10,10,10
16,41,10,10,10
17,41,12,12,8
18,41,9,9,11
19,41,10,10,10
20,41,10,10,10
21,41,9,9,11
22,41,9,9,11
23,41,8,8,12
24,41,9,9,11
25,41,8,8,12
26,41,9,9,11
27,41,8,8,12
28,41,9,9,11
29,41,9,9,11
30,41,8,8,12
31,41,8,8,12
5,42,12,12,8
6,42,12,12,8
7,42,12,12,8
8,42,12,12,8
9,42,11,11,9
10,42,9,9,11
11,42,10,10,10
12,42,9,9,11
13,42,9,9,11
14,42,10,10,10
15,42,11,11,9
16,42,9,9,11
17,42,10,10,10
18,42,11,11,9
19,42,10,10,10
20,42,8,8,12
21,42,6,6,14
22,42,8,8,12
23,42,7,7,13
24,42,8,8,12
25,42,7,7,13
26,42,7,7,13
27,42,7,7,13
28,42,7,7,13
29,42,8,8,12
30,42,8,8,12
31,42,8,8,12
