time,x,E_order,I_order,y,dataset
1,0.05030249462142278,3,1,0,1
2,0.288351459121982,3,1,0,1
3,0.48916039021349444,3,1,0,1
4,0.6415510744415405,3,1,1,1
5,0.8288282847954105,3,1,3,1
6,1.0799806714666484,3,1,3,1
7,1.409128402772934,3,1,2,1
8,1.8378730560776697,3,1,0,1
9,2.396519474944494,3,1,1,1
10,3.1244295899191226,3,1,3,1
11,4.072497554341805,3,1,3,1
12,5.306624493747652,3,1,9,1
13,6.911987668284155,3,1,10,1
14,8.99833995166021,3,1,5,1
15,11.70654403139045,3,1,13,1
16,15.216458513245932,3,1,10,1
17,19.756162191326993,3,1,22,1
18,25.61224076700529,3,1,8,1
19,33.140371763380344,3,1,15,1
20,42.77460405787252,3,1,31,1
21,55.032378984136614,3,1,47,1
22,70.51031752502954,3,1,72,1
23,89.86303307628503,3,1,145,1
24,113.75396167411691,3,1,108,1
25,142.76438111979587,3,1,120,1
26,177.24666055766215,3,1,185,1
27,217.1144104709732,3,1,251,1
28,261.5811805037865,3,1,452,1
29,308.8951358349011,3,1,90,1
30,356.1664380949976,3,1,305,1
31,399.42634404048613,3,1,198,1
32,434.05068466843477,3,1,508,1
33,455.5804983524572,3,1,260,1
34,460.77840512019884,3,1,291,1
35,448.56034422919174,3,1,395,1
36,420.3931697480675,3,1,857,1
37,379.94347571518483,3,1,317,1
38,332.1132718965455,3,1,241,1
39,281.87307253668223,3,1,456,1
40,233.32773348586124,3,1,81,1
41,189.25142153274737,3,1,577,1
42,151.0765605558163,3,1,53,1
43,119.16758434929397,3,1,32,1
44,93.18905767402612,3,1,100,1
45,72.43754238927704,3,1,46,1
46,56.08156913774383,3,1,80,1
47,43.30699350909708,3,1,102,1
48,33.38932446321269,3,1,50,1
49,25.71898588330987,3,1,61,1
50,19.8005812707097,3,1,6,1
51,15.240201794496897,3,1,21,1
52,11.728890350814254,3,1,9,1
53,9.026354380977864,3,1,18,1
54,6.946649216297374,3,1,6,1
55,5.3463081507970855,3,1,10,1
56,4.114818471733997,3,1,4,1
57,3.167123325852117,3,1,3,1
58,2.4377830380999512,3,1,1,1
59,1.8764570237408407,3,1,0,1
60,1.444419659443156,3,1,4,1
1,0.05446080512760476,3,2,0,1
2,0.3286590377200742,3,2,0,1
3,0.5740123952292513,3,2,0,1
4,0.7673314465758554,3,2,0,1
5,1.0169237668362339,3,2,0,1
6,1.363979341203232,3,2,1,1
7,1.8313388743923493,3,2,2,1
8,2.4569218068804677,3,2,3,1
9,3.2952083292368695,3,2,5,1
10,4.418447177549092,3,2,0,1
11,5.922454492130953,3,2,6,1
12,7.93453626137962,3,2,3,1
13,10.623252819041525,3,2,3,1
14,14.210642379838319,3,2,10,1
15,18.987237689592725,3,2,7,1
16,25.32974341665657,3,2,31,1
17,33.72046985480456,3,2,19,1
18,44.7661361672659,3,2,19,1
19,59.21102726185029,3,2,44,1
20,77.93522114627737,3,2,69,1
21,101.92233892241893,3,2,108,1
22,132.17338222885894,3,2,90,1
23,169.53607364900267,3,2,61,1
24,214.4190389999883,3,2,236,1
25,266.3793330013425,3,2,69,1
26,323.6266686991628,3,2,507,1
27,382.58756859998084,3,2,285,1
28,437.7930630547148,3,2,282,1
29,482.4067435920265,3,2,887,1
30,509.5609128244746,3,2,103,1
31,514.2550061585762,3,2,930,1
32,495.07676129798665,3,2,981,1
33,454.85258946695103,3,2,246,1
34,399.8030614401514,3,2,76,1
35,337.61298437666846,3,2,331,1
36,275.374101244578,3,2,385,1
37,218.23579350101136,3,2,213,1
38,169.03106839789143,3,2,58,1
39,128.63227143305267,3,2,96,1
40,96.61083286864869,3,2,9,1
41,71.86997924776006,3,2,101,1
42,53.099909899588965,3,2,139,1
43,39.04152480634639,3,2,17,1
