time,y,order
1,1,1
2,2,1
3,2,1
4,2,1
5,2,1
6,1,1
7,1,1
8,3,1
9,5,1
10,11,1
11,2,1
12,5,1
13,11,1
14,12,1
15,13,1
16,14,1
17,19,1
18,27,1
19,32,1
20,29,1
21,22,1
22,38,1
23,51,1
24,36,1
25,53,1
26,37,1
27,29,1
28,47,1
29,31,1
30,29,1
31,19,1
32,27,1
33,29,1
34,26,1
35,21,1
36,13,1
37,12,1
38,8,1
39,4,1
40,8,1
41,11,1
42,6,1
43,5,1
44,2,1
45,5,1
46,3,1
47,0,1
48,0,1
49,1,1
50,1,1
51,2,1
52,1,1
53,2,1
54,0,1
55,3,1
56,2,1
57,0,1
58,0,1
59,0,1
60,0,1
1,1,2
2,3,2
3,2,2
4,4,2
5,5,2
6,2,2
7,6,2
8,7,2
9,13,2
10,16,2
11,25,2
12,30,2
13,26,2
14,42,2
15,49,2
16,65,2
17,36,2
18,56,2
19,59,2
20,59,2
21,42,2
22,31,2
23,40,2
24,38,2
25,22,2
26,22,2
27,14,2
28,21,2
29,11,2
30,8,2
31,8,2
32,8,2
33,4,2
34,2,2
35,4,2
36,4,2
37,2,2
38,3,2
39,1,2
40,2,2
41,1,2
42,2,2
43,2,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
1,1,3
2,2,3
3,8,3
4,2,3
5,8,3
6,7,3
7,17,3
8,17,3
9,18,3
10,28,3
11,37,3
12,34,3
13,44,3
14,53,3
15,52,3
16,58,3
17,41,3
18,51,3
19,59,3
20,44,3
21,41,3
22,21,3
23,21,3
24,16,3
25,13,3
26,13,3
27,5,3
28,4,3
29,3,3
30,4,3
31,5,3
32,4,3
33,4,3
34,2,3
35,1,3
36,1,3
37,0,3
38,1,3
39,0,3
40,0,3
41,0,3
42,0,3
43,0,3
44,0,3
45,0,3
46,0,3
47,0,3
48,0,3
49,0,3
50,0,3
51,0,3
52,0,3
53,0,3
54,0,3
55,0,3
56,0,3
57,0,3
58,0,3
59,0,3
60,0,3
1,2,4
2,4,4
3,5,4
4,6,4
5,15,4
6,15,4
7,14,4
8,28,4
9,32,4
10,38,4
11,44,4
12,58,4
13,73,4
14,59,4
15,90,4
16,73,4
17,47,4
18,69,4
19,36,4
20,50,4
21,26,4
22,13,4
23,12,4
24,19,4
25,11,4
26,4,4
27,5,4
28,6,4
29,2,4
30,4,4
31,1,4
32,1,4
33,0,4
34,0,4
35,1,4
36,0,4
37,0,4
38,0,4
39,0,4
40,0,4
41,0,4
42,0,4
43,0,4
44,0,4
45,0,4
46,0,4
47,0,4
48,0,4
49,0,4
50,0,4
51,0,4
52,0,4
53,0,4
54,0,4
55,0,4
56,0,4
57,0,4
58,0,4
59,0,4
60,0,4
1,4,5
2,5,5
3,5,5
4,9,5
5,8,5
6,13,5
7,19,5
8,22,5
9,35,5
10,39,5
11,56,5
12,59,5
13,80,5
14,50,5
15,63,5
16,63,5
17,41,5
18,43,5
19,37,5
20,35,5
21,22,5
22,20,5
23,6,5
24,10,5
25,8,5
26,6,5
27,5,5
28,3,5
29,2,5
30,0,5
31,2,5
32,0,5
33,0,5
34,0,5
35,0,5
36,0,5
37,0,5
38,0,5
39,0,5
40,0,5
41,0,5
42,0,5
43,0,5
44,0,5
45,0,5
46,0,5
47,0,5
48,0,5
49,0,5
50,0,5
51,0,5
52,0,5
53,0,5
54,0,5
55,0,5
56,0,5
57,0,5
58,0,5
59,0,5
60,0,5
