time,x,E_order,I_order,y,dataset,inv_phi_val
1,0.05314371792033956,1,1,0,1,1/3
2,0.13300036435750617,1,1,0,1,1/3
3,0.1902348917646315,1,1,0,1,1/3
4,0.23866830620794222,1,1,0,1,1/3
5,0.28571979053824514,1,1,0,1,1/3
6,0.33563246004711655,1,1,0,1,1/3
7,0.3911173464503199,1,1,0,1,1/3
8,0.4541979297485894,1,1,1,1,1/3
9,0.5266516326032002,1,1,1,1,1/3
10,0.6102493065318138,1,1,0,1,1/3
11,0.706894828893061,1,1,0,1,1/3
12,0.8187168783853185,1,1,1,1,1/3
13,0.9481396527537322,1,1,0,1,1/3
14,1.0979465245896396,1,1,0,1,1/3
15,1.2713442147429141,1,1,1,1,1/3
16,1.4720318644781116,1,1,5,1,1/3
17,1.7042778181947753,1,1,1,1,1/3
18,1.9730061806579258,1,1,0,1,1/3
19,2.2838948729213087,1,1,3,1,1/3
20,2.643486764036357,1,1,1,1,1/3
21,3.059315383591528,1,1,3,1,1/3
22,3.5400466518378515,1,1,2,1,1/3
23,4.095637947675005,1,1,2,1,1/3
24,4.7375156226092585,1,1,11,1,1/3
25,5.478771708970108,1,1,10,1,1/3
26,6.33438000053745,1,1,6,1,1/3
27,7.321430825005358,1,1,10,1,1/3
28,8.459382582099742,1,1,9,1,1/3
29,9.770326366490245,1,1,2,1,1/3
30,11.279257581852633,1,1,4,1,1/3
31,13.014345204566851,1,1,6,1,1/3
32,15.007185070104057,1,1,6,1,1/3
33,17.293018012746415,1,1,11,1,1/3
34,19.910886671968825,1,1,27,1,1/3
35,22.903696103756005,1,1,37,1,1/3
36,26.31813291018551,1,1,51,1,1/3
37,30.204385510275927,1,1,39,1,1/3
38,34.61559480560541,1,1,14,1,1/3
39,39.60695070481796,1,1,55,1,1/3
40,45.23433731295137,1,1,48,1,1/3
41,51.552420561548786,1,1,50,1,1/3
42,58.612070350215276,1,1,78,1,1/3
43,66.45701996383332,1,1,68,1,1/3
44,75.11969504936292,1,1,34,1,1/3
45,84.61620014351774,1,1,128,1,1/3
46,94.94053987515815,1,1,73,1,1/3
47,106.05827968814481,1,1,140,1,1/3
48,117.9000173429248,1,1,46,1,1/3
49,130.355232708254,1,1,166,1,1/3
50,143.26728753748876,1,1,73,1,1/3
51,156.4305211738847,1,1,202,1,1/3
52,169.5904791751227,1,1,72,1,1/3
53,182.44825755055967,1,1,230,1,1/3
54,194.66968899934773,1,1,361,1,1/3
55,205.89960951129592,1,1,270,1,1/3
56,215.78074504438473,1,1,191,1,1/3
57,223.97593762054157,1,1,269,1,1/3
58,230.19164347582455,1,1,337,1,1/3
59,234.20007689329714,1,1,126,1,1/3
60,235.85722176717172,1,1,188,1,1/3
61,235.11429109534856,1,1,240,1,1/3
62,232.02105906163433,1,1,187,1,1/3
63,226.7206628086683,1,1,250,1,1/3
64,219.43671778318776,1,1,189,1,1/3
65,210.4546388713452,1,1,790,1,1/3
66,200.09970013561997,1,1,91,1,1/3
67,188.71450934431323,1,1,114,1,1/3
68,176.63826081906973,1,1,157,1,1/3
69,164.18950076207148,1,1,34,1,1/3
70,151.65337437350354,1,1,95,1,1/3
71,139.27359120020537,1,1,78,1,1/3
72,127.24876109320667,1,1,76,1,1/3
73,115.73237186805818,1,1,80,1,1/3
74,104.83550043203468,1,1,71,1,1/3
75,94.63133496120645,1,1,152,1,1/3
76,85.16068426588754,1,1,68,1,1/3
77,76.43780974513993,1,1,82,1,1/3
78,68.45609310746386,1,1,68,1,1/3
79,61.19322046349862,1,1,52,1,1/3
80,54.61570433534598,1,1,185,1,1/3
81,48.68267343112984,1,1,51,1,1/3
82,43.34893626352277,1,1,38,1,1/3
83,38.56737315844384,1,1,18,1,1/3
84,34.290737748113315,1,1,57,1,1/3
85,30.472959601462208,1,1,18,1,1/3
86,27.070039439437096,1,1,15,1,1/3
87,24.04062160322792,1,1,15,1,1/3
88,21.346318208367848,1,1,19,1,1/3
89,18.9518478922746,1,1,11,1,1/3
90,16.82504064134082,1,1,16,1,1/3
91,14.936749680495268,1,1,10,1,1/3
92,13.260702226984904,1,1,9,1,1/3
93,11.773313182819038,1,1,7,1,1/3
94,10.453479530214281,1,1,9,1,1/3
95,9.282368172337556,1,1,6,1,1/3
96,8.24320605471803,1,1,4,1,1/3
97,7.3210784282209715,1,1,4,1,1/3
98,6.502738897704148,1,1,5,1,1/3
99,5.776433284932864,1,1,1,1,1/3
100,5.131738186345501,1,1,4,1,1/3
1,0.05618282607253766,1,2,0,1,1/3
2,0.14837856758259327,1,2,0,1,1/3
3,0.22078405019576297,1,2,0,1,1/3
4,0.28475001474402295,1,2,0,1,1/3
5,0.3483702073615331,1,2,1,1,1/3
6,0.41728525183285514,1,2,0,1,1/3
7,0.4956253930584533,1,2,1,1,1/3
8,0.5867653846812115,1,2,1,1,1/3
9,0.6938537871152906,1,2,1,1,1/3
10,0.8201678308417035,1,2,0,1,1/3
11,0.9693566202881456,1,2,0,1,1/3
12,1.1456231256346179,1,2,3,1,1/3
13,1.3538798155526077,1,2,2,1,1/3
14,1.599900398283939,1,2,0,1,1/3
15,1.8904818990568284,1,2,1,1,1/3
16,2.233626390429782,1,2,2,1,1/3
17,2.6387490126548165,1,2,1,1,1/3
18,3.1169175684876826,1,2,2,1,1/3
19,3.681128308731111,1,2,4,1,1/3
20,4.3466221042698585,1,2,4,1,1/3
21,5.131244714980571,1,2,14,1,1/3
22,6.05585405709045,1,2,0,1,1/3
23,7.144775979218181,1,2,2,1,1/3
24,8.426307782373286,1,2,7,1,1/3
25,9.93326518460703,1,2,16,1,1/3
26,11.703563158884563,1,2,2,1,1/3
27,13.780813462780344,1,2,12,1,1/3
28,16.214910998703132,1,2,19,1,1/3
29,19.062566541425795,1,2,28,1,1/3
30,22.387723923899628,1,2,6,1,1/3
31,26.261774607183668,1,2,56,1,1/3
32,30.763451067640602,1,2,86,1,1/3
33,35.97824265114937,1,2,74,1,1/3
34,41.997134746138386,1,2,14,1,1/3
35,48.91442769608648,1,2,28,1,1/3
36,56.82435244840775,1,2,93,1,1/3
37,65.81617678339649,1,2,58,1,1/3
38,75.96750627029508,1,2,16,1,1/3
39,87.33555161465631,1,2,49,1,1/3
40,99.94628808120683,1,2,76,1,1/3
41,113.78170378632353,1,2,207,1,1/3
42,128.76574456876142,1,2,31,1,1/3
43,144.75011339293235,1,2,162,1,1/3
44,161.50172750498314,1,2,153,1,1/3
45,178.69426764345712,1,2,190,1,1/3
46,195.90668575597851,1,2,118,1,1/3
47,212.6315264648308,1,2,227,1,1/3
48,228.29521692951562,1,2,162,1,1/3
49,242.29094561415877,1,2,230,1,1/3
50,254.02246517803178,1,2,116,1,1/3
51,262.9545151936527,1,2,117,1,1/3
52,268.6632544636359,1,2,130,1,1/3
53,270.8789167173086,1,2,155,1,1/3
54,269.51345472758476,1,2,342,1,1/3
55,264.6683118130277,1,2,274,1,1/3
56,256.62112320739834,1,2,199,1,1/3
57,245.7940945860073,1,2,152,1,1/3
58,232.7099303696441,1,2,392,1,1/3
59,217.94271993680195,1,2,283,1,1/3
60,202.07094723385944,1,2,66,1,1/3
61,185.63814088852905,1,2,294,1,1/3
62,169.12432239574628,1,2,120,1,1/3
63,152.92905272222924,1,2,88,1,1/3
64,137.36503062247448,1,2,80,1,1/3
65,122.66007927251576,1,2,83,1,1/3
66,108.96494450089449,1,2,56,1,1/3
67,96.36444458027108,1,2,24,1,1/3
68,84.88994055527746,1,2,52,1,1/3
69,74.53164546371954,1,2,15,1,1/3
70,65.24982605456444,1,2,45,1,1/3
71,56.984397390703634,1,2,36,1,1/3
72,49.662742223603345,1,2,9,1,1/3
73,43.20580687337497,1,2,65,1,1/3
74,37.53265260831813,1,2,34,1,1/3
75,32.563700092215186,1,2,32,1,1/3
76,28.222916901073404,1,2,9,1,1/3
77,24.439182770756815,1,2,15,1,1/3
