time,x,E_order,I_order,y,dataset
1,0.02115409535117041,1,1,0,1
2,0.05610299640439531,1,1,0,1
3,0.08315453364560055,1,1,0,1
4,0.10536857657322729,1,1,0,1
5,0.12480043382576156,1,1,0,1
6,0.14284563971781128,1,1,0,1
7,0.16046784786380264,1,1,1,1
8,0.17834960279123813,1,1,0,1
9,0.19699223807139843,1,1,0,1
10,0.21678222784347856,1,1,0,1
11,0.2380354313877482,1,1,0,1
12,0.2610267851719126,1,1,0,1
13,0.28601043266190285,1,1,0,1
14,0.31323358996067174,1,1,0,1
15,0.3429463286124417,1,1,0,1
16,0.37540872007158566,1,1,0,1
17,0.41089630027603175,1,1,0,1
18,0.44970449226408604,1,1,2,1
19,0.4921524135761173,1,1,0,1
20,0.538586356152531,1,1,2,1
21,0.58938313505901,1,1,2,1
22,0.6449534424504915,1,1,0,1
23,0.70574530403426206,1,1,0,1
24,0.7722477098439899,1,1,0,1
25,0.8449944747171809,1,1,0,1
26,0.924568373381284,1,1,1,1
27,1.0116055884397053,1,1,1,1
28,1.10680050543092,1,1,0,1
29,1.2109108865804536,1,1,1,1
30,1.3247634532348247,1,1,2,1
31,1.4492599058016573,1,1,0,1
32,1.5853834089803058,1,1,1,1
33,1.7342055688788136,1,1,4,1
34,1.8968939270393683,1,1,2,1
35,2.0747199942097723,1,1,9,1
36,2.2690678436755363,1,1,3,1
37,2.48144327985899,1,1,4,1
38,2.7134835924266127,1,1,1,1
39,2.9669678990129924,1,1,1,1
40,3.2438280705171323,1,1,6,1
41,3.5461602213488916,1,1,1,1
42,3.8762367325372225,1,1,4,1
43,4.236518757731844,1,1,9,1
44,4.6296691402412975,1,1,6,1
45,5.058565642687924,1,1,7,1
46,5.526314358888378,1,1,5,1
47,6.0362631393837205,1,1,12,1
48,6.592014816785806,1,1,7,1
49,7.197439963873023,1,1,0,1
50,7.856688855240378,1,1,11,1
51,8.574202231393812,1,1,2,1
52,9.354720381652214,1,1,9,1
53,10.203289968426049,1,1,11,1
54,11.125267909956762,1,1,5,1
55,12.12632152140037,1,1,14,1
56,13.212423985734489,1,1,9,1
57,14.38984408762633,1,1,8,1
58,15.66512899738754,1,1,15,1
59,17.045078742022326,1,1,3,1
60,18.536710851337915,1,1,12,1
61,20.14721352634035,1,1,13,1
62,21.88388555428284,1,1,19,1
63,23.754061102187052,1,1,5,1
64,25.76501747396236,1,1,52,1
65,27.923863934374253,1,1,24,1
66,30.237409808475377,1,1,54,1
67,32.71201028340107,1,1,24,1
