time,x,E_order,I_order,y,dataset,disp
1,1.5851227216153134,1,1,2,1,phi^-1 ~'= 1/3'
2,8.83870458459217,1,1,8,1,phi^-1 ~'= 1/3'
3,41.73385526521061,1,1,26,1,phi^-1 ~'= 1/3'
4,188.36955387999848,1,1,283,1,phi^-1 ~'= 1/3'
5,713.2699385483762,1,1,574,1,phi^-1 ~'= 1/3'
6,1630.5725813722852,1,1,2761,1,phi^-1 ~'= 1/3'
7,1778.6480099470982,1,1,3984,1,phi^-1 ~'= 1/3'
8,1222.768154316257,1,1,720,1,phi^-1 ~'= 1/3'
9,752.1726014094875,1,1,1704,1,phi^-1 ~'= 1/3'
10,456.8665226256371,1,1,266,1,phi^-1 ~'= 1/3'
11,277.1593701362526,1,1,132,1,phi^-1 ~'= 1/3'
12,168.11330862637806,1,1,111,1,phi^-1 ~'= 1/3'
13,101.9674952018031,1,1,77,1,phi^-1 ~'= 1/3'
14,61.84689502429865,1,1,55,1,phi^-1 ~'= 1/3'
15,37.51222317054817,1,1,46,1,phi^-1 ~'= 1/3'
16,22.752398062900284,1,1,20,1,phi^-1 ~'= 1/3'
17,13.800070554881131,1,1,0,1,phi^-1 ~'= 1/3'
18,8.370190162286235,1,1,0,1,phi^-1 ~'= 1/3'
19,5.076791198549472,1,1,4,1,phi^-1 ~'= 1/3'
20,3.079238150312449,1,1,0,1,phi^-1 ~'= 1/3'
21,1.867657694099762,1,1,1,1,phi^-1 ~'= 1/3'
22,1.132795006464221,1,1,2,1,phi^-1 ~'= 1/3'
23,0.6870770204623113,1,1,0,1,phi^-1 ~'= 1/3'
24,0.4167346212325356,1,1,0,1,phi^-1 ~'= 1/3'
25,0.25276317741099774,1,1,0,1,phi^-1 ~'= 1/3'
1,1.7818413517227678,1,2,2,1,phi^-1 ~'= 1/3'
2,11.117557376401715,1,2,7,1,phi^-1 ~'= 1/3'
3,58.683439386138105,1,2,75,1,phi^-1 ~'= 1/3'
4,288.62106500799024,1,2,505,1,phi^-1 ~'= 1/3'
5,1061.5082610561785,1,2,1179,1,phi^-1 ~'= 1/3'
6,1906.0225666201788,1,2,2049,1,phi^-1 ~'= 1/3'
7,1601.864827347118,1,2,1540,1,phi^-1 ~'= 1/3'
8,1009.4393886399021,1,2,997,1,phi^-1 ~'= 1/3'
9,613.8080972361795,1,2,512,1,phi^-1 ~'= 1/3'
10,372.3713711095261,1,2,339,1,phi^-1 ~'= 1/3'
11,225.86189548289985,1,2,146,1,phi^-1 ~'= 1/3'
12,136.9934007287966,1,2,57,1,phi^-1 ~'= 1/3'
13,83.09103161068197,1,2,48,1,phi^-1 ~'= 1/3'
14,50.397380932024134,1,2,104,1,phi^-1 ~'= 1/3'
15,30.567611534396747,1,2,27,1,phi^-1 ~'= 1/3'
16,18.540221224332527,1,2,16,1,phi^-1 ~'= 1/3'
17,11.245227597823032,1,2,5,1,phi^-1 ~'= 1/3'
18,6.820583810750577,1,2,5,1,phi^-1 ~'= 1/3'
19,4.136898146814929,1,2,2,1,phi^-1 ~'= 1/3'
20,2.509158490923255,1,2,6,1,phi^-1 ~'= 1/3'
21,1.5218833052122136,1,2,3,1,phi^-1 ~'= 1/3'
